Gene_Symbol,Uniprot_Acc,Omim ID,Ensemble Gene ID
TACC1,O75410,605301,ENSG00000147526
SH3BP4,Q9P0V3,605611,ENSG00000130147
MAU2,Q9Y6X3,614560,ENSG00000129933
IGFBP7,Q16270,602867,ENSG00000163453
NSUN5,Q96P11-2,615732,ENSG00000130305
CRB2,Q5IJ48,609720,ENSG00000148204
CBR4,Q8N4T8,619394,ENSG00000145439
CTNNA1,P35221,116805,ENSG00000044115
CTNNA2,P26232-5,114025,ENSG00000066032
EFHD2,Q96C19,616450,ENSG00000142634
EFHD1,Q9BUP0,611617,ENSG00000115468
EGLN1,Q9GZT9,606425,ENSG00000135766
MRPL11,Q9Y3B7,611826,ENSG00000174547
STRIP1,Q5VSL9,617918,ENSG00000143093
STRIP2,Q9ULQ0,617919,ENSG00000128578
DNTTIP1,Q9H147,611388,ENSG00000101457
NPW,Q8N729,607997,ENSG00000183971
ATF7,P17544-6,606371,ENSG00000170653
CREB5,Q02930,618262,ENSG00000146592
ATF2,P15336,123811,ENSG00000115966
EHBP1L1,Q8N3D4,619583,ENSG00000173442
EHBP1,Q8NDI1,609922,ENSG00000115504
BAZ2A,Q9UIF9,605682,ENSG00000076108
ARID1A,O14497,603024,ENSG00000117713
ARID1B,Q8NFD5-3,614556,ENSG00000049618
PPP1R35,Q8TAP8,618937,ENSG00000160813
FYCO1,Q9BQS8,607182,ENSG00000163820
BLOC1S4,Q9NUP1,605695,ENSG00000186222
GYS1,P13807,138570,ENSG00000104812
NDUFA8,P51970,603359,ENSG00000119421
ACBD6,Q9BR61,616352,ENSG00000230124
SFXN2,Q96NB2,615570,ENSG00000156398
FANCG,O15287,602956,ENSG00000221829
OAS2,P29728,603350,ENSG00000111335
NCOR2,Q9Y618-3,600848,ENSG00000196498
NCOR2,Q9Y618-5,600848,ENSG00000196498
NCOR1,H0Y459,600849,ENSG00000141027
NCOR1,O75376,600849,ENSG00000141027
SEMA7A,O75326,607961,ENSG00000138623
POSTN,Q15063,608777,ENSG00000133110
PRKAG2,Q9UGJ0,602743,ENSG00000106617
PRKAG1,P54619,602742,ENSG00000181929
GADD45GIP1,Q8TAE8,605162,ENSG00000179271
DHX30,Q7L2E3-2,616423,ENSG00000132153
SPTLC1,O15269,605712,ENSG00000090054
CKAP5,Q14008,611142,ENSG00000175216
TRAPPC11,Q7Z392,614138,ENSG00000168538
SH2B1,Q9NRF2,608937,ENSG00000178188
SH2B2,O14492,605300,ENSG00000160999
ACAD10,Q6JQN1-5,611181,ENSG00000111271
ALDH2,P05091,100650,ENSG00000111275
ALDH1B1,P30837,100670,ENSG00000137124
ALDH1A2,O94788,603687,ENSG00000128918
ALDH1A1,P00352,100640,ENSG00000165092
SMTN,P53814-5,602127,ENSG00000183963
ALDH1A3,P47895,600463,ENSG00000184254
TTC5,Q8N0Z6,619014,ENSG00000136319
NSRP1,Q9H0G5,616173,ENSG00000126653
STIP1,P31948,605063,ENSG00000168439
ST13,P50502,606796,ENSG00000100380
TSC1,Q92574,605284,ENSG00000165699
TNXB,P22105,600985,ENSG00000168477
NNT,Q13423,607878,ENSG00000112992
RFC1,P35251,102579,ENSG00000035928
UBXN4,Q92575,611216,ENSG00000144224
ANK3,Q12955,600465,ENSG00000151150
ANK3,Q12955-4,600465,ENSG00000151150
ANK1,P16157-14,612641,ENSG00000029534
ANK2,I6L894,106410,ENSG00000145362
ANK2,H0Y931,106410,ENSG00000145362
AFG3L2,Q9Y4W6,604581,ENSG00000141385
CCNDBP1,O95273,607089,ENSG00000166946
CROCC,Q5TZA2,615776,ENSG00000058453
CEP250,Q9BV73,609689,ENSG00000126001
EZR,P15311,123900,ENSG00000092820
SPECC1L,Q69YQ0,614140,ENSG00000100014
RDX,P35241,179410,ENSG00000137710
MYO1B,O43795-2,606537,ENSG00000128641
MYH14,Q7Z406-6,608568,ENSG00000105357
MYO5A,Q9Y4I1-3,160777,ENSG00000197535
MYO5A,Q9Y4I1,160777,ENSG00000197535
MYO7B,Q6PIF6,606541,ENSG00000169994
MYO1D,O94832,606539,ENSG00000176658
NUMA1,Q14980,164009,ENSG00000137497
NUMA1,H0YFY6,164009,ENSG00000137497
MYO5B,Q9ULV0,606540,ENSG00000167306
MYO1F,O00160,601480,ENSG00000142347
MYO1E,Q12965,601479,ENSG00000157483
TRMT1,Q9NXH9,611669,ENSG00000104907
MYO1G,B0I1T2,600642,ENSG00000136286
MYO5C,Q9NQX4,610022,ENSG00000128833
GOLGA4,Q13439-5,602509,ENSG00000144674
GOLGA4,Q13439,602509,ENSG00000144674
MYH10,P35580-4,160776,ENSG00000133026
MYH10,P35580,160776,ENSG00000133026
MYH9,P35579,160775,ENSG00000100345
MYH3,P11055,160720,ENSG00000109063
MYH1,P12882,160730,ENSG00000109061
MYH6,P13533,160710,ENSG00000197616
MYH4,Q9Y623,160742,ENSG00000264424
MYH8,P13535,160741,ENSG00000133020
MYH7,P12883,160760,ENSG00000092054
MYH11,P35749-2,160745,ENSG00000133392
MYH7B,A7E2Y1,609928,ENSG00000078814
MYO7A,Q13402,276903,ENSG00000137474
MSN,P26038,309845,ENSG00000147065
STMN2,Q93045-2,600621,ENSG00000104435
STMN1,P16949,151442,ENSG00000117632
STMN3,Q9NZ72,608362,ENSG00000197457
OTUD4,Q01804,611744,ENSG00000164164
MYO1A,Q9UBC5,601478,ENSG00000166866
MYO1C,O00159,606538,ENSG00000197879
CRY1,Q16526,601933,ENSG00000008405
POLE2,P56282,602670,ENSG00000100479
VAMP5,O95183,607029,ENSG00000168899
MYO3B,Q8WXR4-7,610040,ENSG00000071909
EXOC5,O00471,604469,ENSG00000070367
MYO15A,Q9UKN7,602666,ENSG00000091536
MYH15,Q9Y2K3,609929,ENSG00000144821
MAP2K5,Q13163,602520,ENSG00000137764
PYCR1,P32322,179035,ENSG00000183010
PYCR2,Q96C36,616406,ENSG00000143811
BRD4,O60885,608749,ENSG00000141867
BRD2,P25440-2,601540,ENSG00000204256
BRD3,Q15059,601541,ENSG00000169925
BRDT,Q58F21-5,602144,ENSG00000137948
BCAR1,P56945-6,602941,ENSG00000050820
NEDD9,Q14511-3,602265,ENSG00000111859
DCTN1,Q14203,601143,ENSG00000204843
DCTN1,Q14203-4,601143,ENSG00000204843
SCYL1,Q96KG9,607982,ENSG00000142186
EFNB1,P98172,300035,ENSG00000090776
EFNB3,Q15768,602297,ENSG00000108947
MUS81,Q96NY9,606591,ENSG00000172732
CTNND1,O60716-4,601045,ENSG00000198561
CTNND1,O60716-3,601045,ENSG00000198561
NDFIP2,Q9NV92,610041,ENSG00000102471
DIDO1,Q9BTC0,604140,ENSG00000101191
PHF3,Q92576-2,607789,ENSG00000118482
ETV5,P41161,601600,ENSG00000244405
ETV1,P50549,600541,ENSG00000006468
RBM39,Q14498-2,604739,ENSG00000131051
RAB3GAP1,Q15042,602536,ENSG00000115839
ZNF827,Q17R98,617962,ENSG00000151612
CHCHD3,Q9NX63,613748,ENSG00000106554
CNOT1,A5YKK6,604917,ENSG00000125107
MIB1,Q86YT6,608677,ENSG00000101752
RNF34,Q969K3-2,608299,ENSG00000170633
HDAC10,Q969S8,608544,ENSG00000100429
KDM5A,P29375,180202,ENSG00000073614
KDM5B,Q9UGL1,605393,ENSG00000117139
KDM5C,P41229,314690,ENSG00000126012
KDM5D,Q9BY66-3,426000,ENSG00000012817
RBKS,Q9H477,611132,ENSG00000171174
TUT1,Q9H6E5,610641,ENSG00000149016
ANKRD11,Q6UB99,611192,ENSG00000167522
ANKRD12,Q6UB98,610616,ENSG00000101745
EEF1G,P26641,130593,ENSG00000254772
INO80B,Q9C086,616456,ENSG00000115274
CAST,P20810-6,114090,ENSG00000153113
CAST,E9PCH5,114090,ENSG00000153113
PEX6,Q13608,601498,ENSG00000124587
HVCN1,Q96D96,611227,ENSG00000122986
GPNMB,Q14956-2,604368,ENSG00000136235
ETFA,P13804,608053,ENSG00000140374
INPP5A,Q14642,600106,ENSG00000068383
RRM2,P31350-2,180390,ENSG00000171848
RRM2B,Q7LG56-6,604712,ENSG00000048392
TAF6,P49848-3,602955,ENSG00000106290
WIPF2,Q8TF74,609692,ENSG00000171475
NSD1,Q96L73,606681,ENSG00000165671
CIC,Q96RK0,612082,ENSG00000079432
CIC,I3L2J0,612082,ENSG00000079432
COPB1,P53618,600959,ENSG00000129083
HSD17B8,Q92506,601417,ENSG00000204228
URGCP,Q8TCY9,610337,ENSG00000106608
BTAF1,O14981,605191,ENSG00000095564
PKP4,Q99569,604276,ENSG00000144283
CTNND2,Q9UQB3,604275,ENSG00000169862
TTC4,O95801,606753,ENSG00000243725
RBMXL2,O75526,605444,ENSG00000170748
TCERG1,O14776,605409,ENSG00000113649
CBLL1,Q75N03,606872,ENSG00000105879
RBMX,H3BT71,300199,ENSG00000147274
RBMX,H3BUY5,300199,ENSG00000147274
RCOR2,Q8IZ40,616019,ENSG00000167771
RCOR1,Q9UKL0,607675,ENSG00000089902
ERN2,Q76MJ5,604034,ENSG00000134398
TRMT10C,Q7L0Y3,615423,ENSG00000174173
SCAND1,P57086,610416,ENSG00000171222
FBXL8,Q96CD0,609077,ENSG00000135722
C2CD2,Q9Y426,617581,ENSG00000157617
TCF3,P15923-2,147141,ENSG00000071564
TCF4,P15884-2,602272,ENSG00000196628
TCF4,P15884,602272,ENSG00000196628
TCF12,Q99081-3,600480,ENSG00000140262
SLAIN1,Q8ND83,610491,ENSG00000139737
EIF3C,Q99613,603916,ENSG00000184110
RAB3GAP2,Q9H2M9,609275,ENSG00000118873
BAG4,O95429,603884,ENSG00000156735
XPC,Q01831,613208,ENSG00000154767
GTF2F1,P35269,189968,ENSG00000125651
IRF2BP2,Q7Z5L9,615332,ENSG00000168264
IRF2BP2,Q7Z5L9-2,615332,ENSG00000168264
IRF2BPL,Q9H1B7,611720,ENSG00000119669
IRF2BP1,Q8IU81,615331,ENSG00000170604
TIMELESS,Q9UNS1,603887,ENSG00000111602
RALGAPA1,Q6GYQ0-2,608884,ENSG00000174373
RALGAPA2,Q2PPJ7,618836,ENSG00000188559
RPL26,P61254,603704,ENSG00000161970
ARAP1,Q96P48,606646,ENSG00000186635
AFF1,P51825-2,159557,ENSG00000172493
PSRC1,Q6PGN9-2,613126,ENSG00000134222
GPATCH8,Q9UKJ3,614396,ENSG00000186566
RCC1,P18754-2,179710,ENSG00000180198
ACTBL2,Q562R1,614835,ENSG00000169067
ACTA2,P62736,102620,ENSG00000107796
ACTA1,P68133,102610,ENSG00000143632
ACTB,P60709,102630,ENSG00000075624
ACTG1,K7EM38,102560,ENSG00000184009
PDHA1,P08559,300502,ENSG00000131828
CPSF1,Q10570,606027,ENSG00000071894
CAND2,O75155,610403,ENSG00000144712
CAND1,Q86VP6,607727,ENSG00000111530
NAP1L1,P55209,164060,ENSG00000187109
NAP1L1,B7Z9C2,164060,ENSG00000187109
TUB,P50607-2,601197,ENSG00000166402
TULP3,O75386,604730,ENSG00000078246
PLA2G2A,P14555,172411,ENSG00000188257
GFM1,Q96RP9,606639,ENSG00000168827
PTPRK,Q15262-2,602545,ENSG00000152894
PTPRM,P28827-2,176888,ENSG00000173482
FRAS1,Q86XX4-2,607830,ENSG00000138759
SLC39A11,Q8N1S5,616508,ENSG00000133195
KDM1B,Q8NB78,613081,ENSG00000165097
MED17,Q9NVC6,603810,ENSG00000042429
LRRC8E,Q6NSJ5,612891,ENSG00000171017
LRRC8D,Q7L1W4,612890,ENSG00000171492
LRRC8A,Q8IWT6,608360,ENSG00000136802
LRRC8B,Q6P9F7,612888,ENSG00000197147
LRRC8C,Q8TDW0,612889,ENSG00000171488
LMNB2,J9JID7,150341,ENSG00000176619
LMNA,P02545,150330,ENSG00000160789
LMNB1,P20700,150340,ENSG00000113368
MARCKSL1,P49006,602940,ENSG00000175130
MARCKS,P29966,177061,ENSG00000277443
SND1,Q7KZF4,602181,ENSG00000197157
VIL1,P09327,193040,ENSG00000127831
AVIL,O75366,613397,ENSG00000135407
DHX34,Q14147,615475,ENSG00000134815
HOMEZ,Q8IX15,608119,ENSG00000215271
SYNPO,Q8N3V7,608155,ENSG00000171992
SYNPO,Q8N3V7-2,608155,ENSG00000171992
BCR,P11274,151410,ENSG00000186716
ABR,Q12979,600365,ENSG00000159842
CYFIP2,Q96F07,606323,ENSG00000055163
CYFIP1,Q7L576,606322,ENSG00000273749
DHRS11,Q6UWP2,616159,ENSG00000278535
TADA3,O75528,602945,ENSG00000171148
MIOS,Q9NXC5,615359,ENSG00000164654
ATAT1,Q5SQI0,615556,ENSG00000137343
SNX13,Q9Y5W8,606589,ENSG00000071189
VCL,P18206,193065,ENSG00000035403
EXOC8,Q8IYI6,615283,ENSG00000116903
PDIA2,Q13087,608012,ENSG00000185615
HTT,P42858,613004,ENSG00000197386
NDUFV2,P19404,600532,ENSG00000178127
GRSF1,Q12849,604851,ENSG00000132463
IDH3B,O43837,604526,ENSG00000101365
INTS1,Q8N201,611345,ENSG00000164880
COPG2,Q9UBF2,604355,ENSG00000158623
COPG1,Q9Y678,615525,ENSG00000181789
PIGB,Q92521,604122,ENSG00000069943
NAGLU,P54802,609701,ENSG00000108784
TMCC1,O94876,616242,ENSG00000172765
TMCC2,O75069,619429,ENSG00000133069
TMCC3,Q9ULS5,617459,ENSG00000057704
TEP1,Q99973,601686,ENSG00000129566
FMNL2,Q96PY5-3,616285,ENSG00000157827
FMNL3,Q8IVF7,616288,ENSG00000161791
FMNL1,O95466-2,604656,ENSG00000184922
AGRN,O00468-6,103320,ENSG00000188157
PDHX,O00330,608769,ENSG00000110435
MTHFD2,P13995,604887,ENSG00000065911
MTHFD2L,Q9H903,614047,ENSG00000163738
PALM,O75781,608134,ENSG00000099864
PCYT1A,P49585,123695,ENSG00000161217
PCYT1B,Q9Y5K3,300948,ENSG00000102230
USP34,Q70CQ2,615295,ENSG00000115464
LIPE,Q05469,151750,ENSG00000079435
NRBF2,Q96F24,616477,ENSG00000148572
PFKL,P17858,171860,ENSG00000141959
PFKP,Q01813,171840,ENSG00000067057
PFKM,P08237-3,610681,ENSG00000152556
DHX58,Q96C10,608588,ENSG00000108771
C4A,P0C0L4,120810,ENSG00000244731
CDAN1,Q8IWY9,607465,ENSG00000140326
CEP290,O15078,610142,ENSG00000198707
TAB2,Q9NYJ8,605101,ENSG00000055208
KIF16B,Q96L93-2,618171,ENSG00000089177
KIF16B,Q96L93,618171,ENSG00000089177
KIF1A,Q12756-2,601255,ENSG00000130294
KIF1B,O60333-2,605995,ENSG00000054523
KIF1B,O60333-3,605995,ENSG00000054523
KIF13B,Q9NQT8,607350,ENSG00000197892
KIF4B,Q2VIQ3,609184,ENSG00000226650
KIF4A,O95239,300521,ENSG00000090889
KIF1C,O43896,603060,ENSG00000129250
KIF13A,Q9H1H9,605433,ENSG00000137177
NOM1,Q5C9Z4,611269,ENSG00000146909
KIFC3,Q9BVG8,604535,ENSG00000140859
KIF3B,O15066,603754,ENSG00000101350
KIF3C,O14782,602845,ENSG00000084731
STARD9,Q9P2P6,614642,ENSG00000159433
TAB3,Q8N5C8,300480,ENSG00000157625
KIF3A,Q9Y496,604683,ENSG00000131437
MRPL22,Q9NWU5,611835,ENSG00000082515
